concurso,data_sorteio,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,arrecadacao_total,ganhadores_15_numeros,ganhadores_14_numeros,ganhadores_13_numeros,ganhadores_12_numeros,ganhadores_11_numeros,valor_rateio_15_numeros,valor_rateio_14_numeros,valor_rateio_13_numeros,valor_rateio_12_numeros,valor_rateio_11_numeros,acumulado_15_numeros,estimativa_premio,valor_acumulado_especial
1,29/09/2003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,0,5,154,4645,48807,257593,"49765,82","689,84",10,4,2,0,0,0
2,06/10/2003,23,15,5,4,12,16,20,6,11,19,24,1,9,13,7,0,1,184,6232,81252,478188,"596323,7","1388,95",10,4,2,0,0,0
3,13/10/2003,20,23,12,8,6,1,7,11,14,4,16,10,9,17,24,0,2,158,6897,96244,608211,"400623,7","2173,36",10,4,2,0,0,0
4,20/10/2003,16,5,25,24,23,8,12,2,17,18,1,10,4,19,13,0,1,258,9569,123912,706657,"902226,02","1498,72",10,4,2,0,0,0
5,27/10/2003,15,13,20,2,11,24,9,16,4,23,25,12,8,19,1,0,2,472,14736,195636,860992,"380017,55","687,49",10,4,2,0,0,0
6,03/11/2003,23,19,1,5,7,21,16,10,15,25,6,2,12,4,17,0,2,393,14242,162320,888301,"489140,06","1066,83",10,4,2,0,0,0
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,0,9,1333,25878,206828,967358,"104625,29","301,59",10,4,2,0,0,0
8,17/11/2003,19,16,18,9,13,8,5,25,17,10,6,15,1,22,20,0,1,256,11414,149037,926910,"1201958,08","2012,21",10,4,2,0,0,0
9,24/11/2003,21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,0,3,407,14973,213511,1104328,"336053,65","1061,6",10,4,2,0,0,0
10,01/12/2003,24,19,8,23,6,2,20,11,9,3,4,10,5,12,14,0,0,380,15767,207355,1186563,0,"1157,08",10,4,2,1025945,0,0
11,08/12/2003,24,9,8,19,20,22,6,10,11,16,7,25,23,2,12,0,0,306,14249,216679,1343171,0,"1855,82",10,4,2,"2351000,93",0,0
12,15/12/2003,11,5,25,1,9,8,16,4,7,24,17,2,12,14,10,0,1,631,24400,322557,1607584,"3490966,18","771,32",10,4,2,0,0,0
13,22/12/2003,13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,0,3,714,27399,320961,1501354,"269157,25","482,84",10,4,2,0,0,0
14,29/12/2003,14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,0,3,444,15413,214582,1149506,"411362,89","1191,21",10,4,2,0,0,0
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,0,22,2059,38038,379994,1198158,"27525,68","125,58",10,4,2,0,0,0
16,12/01/2004,24,17,5,8,7,12,13,2,15,10,19,25,23,21,6,0,9,1086,29005,329409,1471908,"83935,77","296,98",10,4,2,0,0,0
17,19/01/2004,13,20,17,1,6,7,2,14,5,9,16,19,3,21,18,0,1,320,14425,232740,1083387,"1427169,94","1911,39",10,4,2,0,0,0
18,26/01/2004,2,23,10,7,11,14,17,22,15,6,24,8,19,20,18,0,3,309,12373,174339,1079894,"487887,61","2030,05",10,4,2,0,0,0
19,02/02/2004,15,17,10,23,11,24,13,14,6,2,8,5,20,16,7,0,10,818,23594,326913,1333412,"82040,05","428,2",10,4,2,0,0,0
20,09/02/2004,4,9,8,24,16,20,3,17,18,19,7,6,23,14,10,0,9,931,19580,266087,1462294,"122882,04","507,17",10,4,2,0,0,0
21,16/02/2004,5,2,1,22,19,8,24,4,25,23,18,20,14,11,16,0,3,316,13077,203475,1211951,"530990,23","2160,45",10,4,2,0,0,0
22,25/02/2004,13,15,5,9,7,10,1,3,22,2,25,14,6,4,12,0,1,484,55372,152738,868693,"1081149,89","957,34",10,4,2,0,0,0
23,01/03/2004,10,11,5,19,18,14,6,4,20,1,8,3,12,16,17,0,1,541,16248,215670,1187602,"1178452,05","933,55",10,4,2,0,0,0
24,08/03/2004,1,19,21,14,2,23,25,5,20,11,7,10,24,17,3,0,2,585,22453,258724,1286374,"662295,89","970,4",10,4,2,0,0,0
25,15/03/2004,4,23,20,2,5,13,7,9,24,3,1,6,14,22,16,0,0,417,16108,213231,1288117,0,"1437,73",10,4,2,"1398910,67",0,0
26,22/03/2004,19,11,7,16,8,21,5,10,20,13,23,9,17,14,22,0,3,602,22397,317722,1659205,"970676,17","1077,21",10,4,2,0,0,0
